date,final_seniority,average_salary,gdp_mln_usd,delta_gdp_mln_usd,percent_delta_gdp_mln_usd,consumer price index,average_salary_usd,delta_average_salary_usd,percent_delta_average_salary_usd,exchange_rate_uah_usd,google_search_for_data_science,final_consumption_expenditure,year,half,cleaned
2015-06-30,junior,784.3636363636364,90615.0,-41190.0,-31.3,3.640187930617435,213.8,-180.0,-45.7,16.16,40.0,,2015,1,-24.976270083212967
2015-12-31,junior,780.6333333333333,90615.0,-41190.0,-31.3,7.743438741959837,213.8,-180.0,-45.7,16.16,56.0,,2015,2,25.450364240377667
2016-06-30,junior,1160.1818181818182,93270.0,2655.0,2.9,1.19376052675828,173.4,-40.4,-18.9,25.15,113.0,3583695000000.0,2016,1,53.633531895863825
2016-12-31,junior,977.9545454545456,93270.0,2655.0,2.9,1.5962026413168289,173.4,-40.4,-18.9,25.15,134.0,4108077000000.0,2016,2,19.711664525236756
2017-06-30,junior,1055.3260869565215,112154.0,18884.0,20.2,1.2891809958993992,221.5,48.1,27.7,27.12,214.0,4057905000000.0,2017,1,5.964171653120729
2017-12-31,junior,831.9642857142857,112154.0,18884.0,20.2,1.8383254673269729,221.5,48.1,27.7,27.12,232.0,4696009000000.0,2017,2,-67.4991538970637
2018-06-30,junior,1072.2368421052631,130832.0,18678.0,16.7,1.2240744828125183,275.3,53.8,24.3,28.01,298.0,4562431000000.0,2018,1,11.245058840889328
2018-12-31,junior,1095.203125,130832.0,18678.0,16.7,1.4555191717975269,275.3,53.8,24.3,28.01,364.0,5218642000000.0,2018,2,25.835869139354827
2019-06-30,junior,1160.0933333333332,153781.0,22949.0,17.5,1.171751142923469,332.3,57.0,20.7,27.76,340.0,4994816000000.0,2019,1,-35.968558814447306
2019-12-31,junior,1257.5172413793102,153781.0,22949.0,17.5,1.237459414125775,332.3,57.0,20.7,27.76,418.0,5629009000000.0,2019,2,63.97410898296562
2020-06-30,junior,1202.3809523809523,155582.0,1801.0,1.2,1.062372138121905,430.5,98.2,29.5,24.92,440.0,4981774000000.0,2020,1,-34.24704600144764
2020-12-31,junior,1203.111111111111,155582.0,1801.0,1.2,1.1715205001215718,430.5,98.2,29.5,24.92,463.0,5927462000000.0,2020,2,-49.739433051605374
