period,final_seniority,average_salary,gdp_mln_uah,delta_gdp_mln_uah,percent_delta_gdp_mln_uah,gdp_mln_usd,delta_gdp_mln_usd,percent_delta_gdp_mln_usd,consumer price index,average_salary_usd,delta_average_salary_usd,percent_delta_average_salary_usd,exchange_rate_uah_usd,google_search_for_data_science,final_consumption_expenditure
2015_H1,junior,784.3636363636364,1979458,412730.0,26.3%,90615.0,-41190.0,-31.3%,3.640187930617435,213.8,-180.0,-45.7%,16.16,40.0,
2015_H1,middle,1047.4,1979458,412730.0,26.3%,90615.0,-41190.0,-31.3%,3.640187930617435,213.8,-180.0,-45.7%,16.16,40.0,
2015_H1,senior,3887.5,1979458,412730.0,26.3%,90615.0,-41190.0,-31.3%,3.640187930617435,213.8,-180.0,-45.7%,16.16,40.0,
2015_H2,junior,780.6333333333333,1979458,412730.0,26.3%,90615.0,-41190.0,-31.3%,7.743438741959837,213.8,-180.0,-45.7%,16.16,56.0,
2015_H2,middle,1533.4615384615386,1979458,412730.0,26.3%,90615.0,-41190.0,-31.3%,7.743438741959837,213.8,-180.0,-45.7%,16.16,56.0,
2015_H2,senior,4680.0,1979458,412730.0,26.3%,90615.0,-41190.0,-31.3%,7.743438741959837,213.8,-180.0,-45.7%,16.16,56.0,
2016_H1,junior,1160.1818181818182,2383182,403724.0,20.4%,93270.0,2655.0,2.9%,1.19376052675828,173.4,-40.4,-18.9%,25.15,113.0,3583695000000.0
2016_H1,middle,1832.142857142857,2383182,403724.0,20.4%,93270.0,2655.0,2.9%,1.19376052675828,173.4,-40.4,-18.9%,25.15,113.0,3583695000000.0
2016_H1,senior,4375.0,2383182,403724.0,20.4%,93270.0,2655.0,2.9%,1.19376052675828,173.4,-40.4,-18.9%,25.15,113.0,3583695000000.0
2016_H2,junior,977.9545454545455,2383182,403724.0,20.4%,93270.0,2655.0,2.9%,1.5962026413168287,173.4,-40.4,-18.9%,25.15,134.0,4108077000000.0
2016_H2,middle,1657.857142857143,2383182,403724.0,20.4%,93270.0,2655.0,2.9%,1.5962026413168287,173.4,-40.4,-18.9%,25.15,134.0,4108077000000.0
2016_H2,senior,4187.5,2383182,403724.0,20.4%,93270.0,2655.0,2.9%,1.5962026413168287,173.4,-40.4,-18.9%,25.15,134.0,4108077000000.0
2017_H1,junior,1055.3260869565217,2982920,599738.0,25.2%,112154.0,18884.0,20.2%,1.2891809958993992,221.5,48.1,27.7%,27.12,214.0,4057905000000.0
2017_H1,middle,1987.5,2982920,599738.0,25.2%,112154.0,18884.0,20.2%,1.2891809958993992,221.5,48.1,27.7%,27.12,214.0,4057905000000.0
2017_H1,senior,3560.0,2982920,599738.0,25.2%,112154.0,18884.0,20.2%,1.2891809958993992,221.5,48.1,27.7%,27.12,214.0,4057905000000.0
2017_H2,junior,831.9642857142857,2982920,599738.0,25.2%,112154.0,18884.0,20.2%,1.8383254673269729,221.5,48.1,27.7%,27.12,232.0,4696009000000.0
2017_H2,middle,2250.7391304347825,2982920,599738.0,25.2%,112154.0,18884.0,20.2%,1.8383254673269729,221.5,48.1,27.7%,27.12,232.0,4696009000000.0
2017_H2,senior,3864.285714285714,2982920,599738.0,25.2%,112154.0,18884.0,20.2%,1.8383254673269729,221.5,48.1,27.7%,27.12,232.0,4696009000000.0
2018_H1,junior,1072.2368421052631,3558706,575786.0,19.3%,130832.0,18678.0,16.7%,1.2240744828125183,275.3,53.8,24.3%,28.01,298.0,4562431000000.0
2018_H1,middle,2820.1071428571427,3558706,575786.0,19.3%,130832.0,18678.0,16.7%,1.2240744828125183,275.3,53.8,24.3%,28.01,298.0,4562431000000.0
2018_H1,senior,4420.833333333333,3558706,575786.0,19.3%,130832.0,18678.0,16.7%,1.2240744828125183,275.3,53.8,24.3%,28.01,298.0,4562431000000.0
2018_H2,junior,1095.203125,3558706,575786.0,19.3%,130832.0,18678.0,16.7%,1.4555191717975267,275.3,53.8,24.3%,28.01,364.0,5218642000000.0
2018_H2,middle,2850.6060606060605,3558706,575786.0,19.3%,130832.0,18678.0,16.7%,1.4555191717975267,275.3,53.8,24.3%,28.01,364.0,5218642000000.0
2018_H2,senior,5518.75,3558706,575786.0,19.3%,130832.0,18678.0,16.7%,1.4555191717975267,275.3,53.8,24.3%,28.01,364.0,5218642000000.0
2019_H1,junior,1160.0933333333332,3974564,415858.0,11.7%,153781.0,22949.0,17.5%,1.171751142923469,332.3,57.0,20.7%,27.76,340.0,4994816000000.0
2019_H1,middle,3353.5135135135133,3974564,415858.0,11.7%,153781.0,22949.0,17.5%,1.171751142923469,332.3,57.0,20.7%,27.76,340.0,4994816000000.0
2019_H1,senior,4768.181818181818,3974564,415858.0,11.7%,153781.0,22949.0,17.5%,1.171751142923469,332.3,57.0,20.7%,27.76,340.0,4994816000000.0
2019_H2,junior,1257.5172413793102,3974564,415858.0,11.7%,153781.0,22949.0,17.5%,1.237459414125775,332.3,57.0,20.7%,27.76,418.0,5629009000000.0
2019_H2,middle,3327.9032258064517,3974564,415858.0,11.7%,153781.0,22949.0,17.5%,1.237459414125775,332.3,57.0,20.7%,27.76,418.0,5629009000000.0
2019_H2,senior,4544.444444444444,3974564,415858.0,11.7%,153781.0,22949.0,17.5%,1.237459414125775,332.3,57.0,20.7%,27.76,418.0,5629009000000.0
2020_H1,junior,1202.3809523809523,4194102,219538.0,5.5%,155582.0,1801.0,1.2%,1.0623721381219047,430.5,98.2,29.5%,24.92,440.0,4981774000000.0
2020_H1,middle,3076.3513513513512,4194102,219538.0,5.5%,155582.0,1801.0,1.2%,1.0623721381219047,430.5,98.2,29.5%,24.92,440.0,4981774000000.0
2020_H1,senior,4076.9565217391305,4194102,219538.0,5.5%,155582.0,1801.0,1.2%,1.0623721381219047,430.5,98.2,29.5%,24.92,440.0,4981774000000.0
2020_H2,junior,1203.111111111111,4194102,219538.0,5.5%,155582.0,1801.0,1.2%,1.1715205001215718,430.5,98.2,29.5%,24.92,463.0,5927462000000.0
2020_H2,middle,3243.828125,4194102,219538.0,5.5%,155582.0,1801.0,1.2%,1.1715205001215718,430.5,98.2,29.5%,24.92,463.0,5927462000000.0
2020_H2,senior,5096.0,4194102,219538.0,5.5%,155582.0,1801.0,1.2%,1.1715205001215718,430.5,98.2,29.5%,24.92,463.0,5927462000000.0
2021_H1,junior,1448.9871794871794,5459574,1265472.0,30.2%,199770.0,44188.0,28.4%,1.2763039199221742,437.6,7.1,1.7%,28.19,428.0,5691224000000.0
2021_H1,middle,3762.7894736842104,5459574,1265472.0,30.2%,199770.0,44188.0,28.4%,1.2763039199221742,437.6,7.1,1.7%,28.19,428.0,5691224000000.0
2021_H1,senior,4443.2,5459574,1265472.0,30.2%,199770.0,44188.0,28.4%,1.2763039199221742,437.6,7.1,1.7%,28.19,428.0,5691224000000.0
2021_H2,junior,1418.847619047619,5459574,1265472.0,30.2%,199770.0,44188.0,28.4%,1.5875314368952502,437.6,7.1,1.7%,28.19,417.0,6430002000000.0
2021_H2,middle,3802.525,5459574,1265472.0,30.2%,199770.0,44188.0,28.4%,1.5875314368952502,437.6,7.1,1.7%,28.19,417.0,6430002000000.0
2021_H2,senior,5341.611940298508,5459574,1265472.0,30.2%,199770.0,44188.0,28.4%,1.5875314368952502,437.6,7.1,1.7%,28.19,417.0,6430002000000.0
2022_H1,junior,1381.578947368421,5191028,-268546.0,-4.9%,161990.0,-37780.0,-18.9%,1.6632612077769848,506.4,68.9,15.7%,28.78,515.0,4221446000000.0
2022_H1,middle,4276.315789473684,5191028,-268546.0,-4.9%,161990.0,-37780.0,-18.9%,1.6632612077769848,506.4,68.9,15.7%,28.78,515.0,4221446000000.0
2022_H1,senior,4888.888888888889,5191028,-268546.0,-4.9%,161990.0,-37780.0,-18.9%,1.6632612077769848,506.4,68.9,15.7%,28.78,515.0,4221446000000.0
2022_H2,junior,1236.2978723404256,5191028,-268546.0,-4.9%,161990.0,-37780.0,-18.9%,3.4167738834039287,506.4,68.9,15.7%,28.78,459.0,5249648000000.0
2022_H2,middle,2891.5421686746986,5191028,-268546.0,-4.9%,161990.0,-37780.0,-18.9%,3.4167738834039287,506.4,68.9,15.7%,28.78,459.0,5249648000000.0
2022_H2,senior,5494.045045045045,5191028,-268546.0,-4.9%,161990.0,-37780.0,-18.9%,3.4167738834039287,506.4,68.9,15.7%,28.78,459.0,5249648000000.0
2023_H1,junior,1345.9642857142858,6537825,1346797.0,25.9%,178760.0,16770.0,10.4%,1.1807896408471297,,,,,493.0,5046471000000.0
2023_H1,middle,2727.4324324324325,6537825,1346797.0,25.9%,178760.0,16770.0,10.4%,1.1807896408471297,,,,,493.0,5046471000000.0
2023_H1,senior,5687.862068965517,6537825,1346797.0,25.9%,178760.0,16770.0,10.4%,1.1807896408471297,,,,,493.0,5046471000000.0
2023_H2,junior,1223.0375,6537825,1346797.0,25.9%,178760.0,16770.0,10.4%,1.25053254187056,,,,,412.0,6019093000000.0
2023_H2,middle,2780.848484848485,6537825,1346797.0,25.9%,178760.0,16770.0,10.4%,1.25053254187056,,,,,412.0,6019093000000.0
2023_H2,senior,5390.311475409836,6537825,1346797.0,25.9%,178760.0,16770.0,10.4%,1.25053254187056,,,,,412.0,6019093000000.0
2024_H1,junior,1312.5263157894738,7658659,1120834.0,17.1%,,,,1.1037383460277574,,,,,388.0,5486328000000.0
2024_H1,middle,2770.705882352941,7658659,1120834.0,17.1%,,,,1.1037383460277574,,,,,388.0,5486328000000.0
2024_H1,senior,5492.656934306569,7658659,1120834.0,17.1%,,,,1.1037383460277574,,,,,388.0,5486328000000.0
2024_H2,junior,1139.642857142857,7658659,1120834.0,17.1%,,,,1.561801309612186,,,,,421.0,6534502000000.0
2024_H2,middle,2702.875,7658659,1120834.0,17.1%,,,,1.561801309612186,,,,,421.0,6534502000000.0
2024_H2,senior,6664.714285714285,7658659,1120834.0,17.1%,,,,1.561801309612186,,,,,421.0,6534502000000.0
