period,final_seniority,average_salary,consumer price index,income of the population
2015_H1,junior,925.5238095238095,3.640187930617435,31803.0
2015_H1,middle,1047.4,3.640187930617435,31803.0
2015_H1,senior,2674.0,3.640187930617435,31803.0
2015_H2,junior,945.56,7.743438741959837,31803.0
2015_H2,middle,1533.4615384615386,7.743438741959837,31803.0
2015_H2,senior,2318.0,7.743438741959837,31803.0
2016_H1,junior,1138.258064516129,1.19376052675828,37080.0
2016_H1,middle,1832.142857142857,1.19376052675828,37080.0
2016_H1,senior,3416.6666666666665,1.19376052675828,37080.0
2016_H2,junior,1023.2051282051282,1.5962026413168287,37080.0
2016_H2,middle,1657.857142857143,1.5962026413168287,37080.0
2016_H2,senior,2208.3333333333335,1.5962026413168287,37080.0
2017_H1,junior,1104.5121951219512,1.2891809958993992,47270.0
2017_H1,middle,1987.5,1.2891809958993992,47270.0
2017_H1,senior,2106.0,1.2891809958993992,47270.0
2017_H2,junior,805.3846153846154,1.8383254673269729,47270.0
2017_H2,middle,2250.7391304347825,1.8383254673269729,47270.0
2017_H2,senior,2887.2727272727275,1.8383254673269729,47270.0
2018_H1,junior,1100.5882352941176,1.2240744828125183,58442.0
2018_H1,middle,2820.1071428571427,1.2240744828125183,58442.0
2018_H1,senior,2985.0,1.2240744828125183,58442.0
2018_H2,junior,1083.4918032786886,1.4555191717975267,58442.0
2018_H2,middle,2850.6060606060605,1.4555191717975267,58442.0
2018_H2,senior,4377.272727272727,1.4555191717975267,58442.0
2019_H1,junior,1250.7307692307693,1.171751142923469,69140.0
2019_H1,middle,3353.5135135135133,1.171751142923469,69140.0
2019_H1,senior,5237.5,1.171751142923469,69140.0
2019_H2,junior,1309.2413793103449,1.237459414125775,69140.0
2019_H2,middle,3327.9032258064517,1.237459414125775,69140.0
2019_H2,senior,4211.111111111111,1.237459414125775,69140.0
2020_H1,junior,1375.6451612903227,1.0623721381219047,74688.0
2020_H1,middle,3076.3513513513512,1.0623721381219047,74688.0
2020_H1,senior,3509.5833333333335,1.0623721381219047,74688.0
2020_H2,junior,1186.064935064935,1.1715205001215718,74688.0
2020_H2,middle,3243.828125,1.1715205001215718,74688.0
2020_H2,senior,4525.64,1.1715205001215718,74688.0
2021_H1,junior,2610.748,1.2763039199221742,90036.0
2021_H1,middle,3762.7894736842104,1.2763039199221742,90036.0
2021_H1,senior,2945.8333333333335,1.2763039199221742,90036.0
2021_H2,junior,1756.0434782608695,1.5875314368952502,90036.0
2021_H2,middle,3802.525,1.5875314368952502,90036.0
2021_H2,senior,5349.508771929824,1.5875314368952502,90036.0
2022_H1,junior,1642.857142857143,1.6632612077769848,
2022_H1,middle,4276.315789473684,1.6632612077769848,
2022_H1,senior,5270.833333333333,1.6632612077769848,
2022_H2,junior,1778.4864864864865,3.4167738834039287,
2022_H2,middle,2891.5421686746986,3.4167738834039287,
2022_H2,senior,5623.81914893617,3.4167738834039287,
2023_H1,junior,1936.8383838383838,1.1807896408471297,
2023_H1,middle,2727.4324324324325,1.1807896408471297,
2023_H1,senior,5738.876923076923,1.1807896408471297,
2023_H2,junior,1872.7978723404256,1.25053254187056,
2023_H2,middle,2780.848484848485,1.25053254187056,
2023_H2,senior,5364.981481481482,1.25053254187056,
2024_H1,junior,1710.5731707317073,1.1037383460277574,
2024_H1,middle,2770.705882352941,1.1037383460277574,
2024_H1,senior,5434.954198473282,1.1037383460277574,
2024_H2,junior,1547.8125,1.561801309612186,
2024_H2,middle,2702.875,1.561801309612186,
2024_H2,senior,6956.290322580645,1.561801309612186,
