"COUNTRY","INDICATOR","PRICE_TYPE","S_ADJUSTMENT","TYPE_OF_TRANSFORMATION","FREQUENCY","TIME_PERIOD","OBS_VALUE","SCALE"
"Ukraine","Final consumption expenditure","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2016-Q1","503632000000",""
"Ukraine","Final consumption expenditure","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2016-Q2","500589000000",""
"Ukraine","Final consumption expenditure","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2016-Q3","510933000000",""
"Ukraine","Final consumption expenditure","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2016-Q4","517174000000",""
"Ukraine","Final consumption expenditure","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2017-Q1","541579000000",""
"Ukraine","Final consumption expenditure","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2017-Q2","543806000000",""
"Ukraine","Final consumption expenditure","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2017-Q3","551118000000",""
"Ukraine","Final consumption expenditure","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2017-Q4","566882000000",""
"Ukraine","Final consumption expenditure","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2018-Q1","576953000000",""
"Ukraine","Final consumption expenditure","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2018-Q2","592696000000",""
"Ukraine","Final consumption expenditure","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2018-Q3","592606000000",""
"Ukraine","Final consumption expenditure","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2018-Q4","597697000000",""
"Ukraine","Final consumption expenditure","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2019-Q1","605120000000",""
"Ukraine","Final consumption expenditure","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2019-Q2","633823000000",""
"Ukraine","Final consumption expenditure","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2019-Q3","623474000000",""
"Ukraine","Final consumption expenditure","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2019-Q4","622139000000",""
"Ukraine","Final consumption expenditure","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2020-Q1","631345000000",""
"Ukraine","Final consumption expenditure","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2020-Q2","596278000000",""
"Ukraine","Final consumption expenditure","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2020-Q3","632973000000",""
"Ukraine","Final consumption expenditure","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2020-Q4","653292000000",""
"Ukraine","Final consumption expenditure","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2021-Q1","665299000000",""
"Ukraine","Final consumption expenditure","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2021-Q2","673360000000",""
"Ukraine","Final consumption expenditure","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2021-Q3","660697000000",""
"Ukraine","Final consumption expenditure","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2021-Q4","653328000000",""
"Ukraine","Gross fixed capital formation","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2016-Q1","83339000000",""
"Ukraine","Gross fixed capital formation","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2016-Q2","89469000000",""
"Ukraine","Gross fixed capital formation","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2016-Q3","95966000000",""
"Ukraine","Gross fixed capital formation","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2016-Q4","99917000000",""
"Ukraine","Gross fixed capital formation","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2017-Q1","98497000000",""
"Ukraine","Gross fixed capital formation","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2017-Q2","107561000000",""
"Ukraine","Gross fixed capital formation","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2017-Q3","108391000000",""
"Ukraine","Gross fixed capital formation","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2017-Q4","113470000000",""
"Ukraine","Gross fixed capital formation","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2018-Q1","119847000000",""
"Ukraine","Gross fixed capital formation","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2018-Q2","127773000000",""
"Ukraine","Gross fixed capital formation","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2018-Q3","124122000000",""
"Ukraine","Gross fixed capital formation","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2018-Q4","127168000000",""
"Ukraine","Gross fixed capital formation","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2019-Q1","136816000000",""
"Ukraine","Gross fixed capital formation","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2019-Q2","134769000000",""
"Ukraine","Gross fixed capital formation","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2019-Q3","138271000000",""
"Ukraine","Gross fixed capital formation","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2019-Q4","147568000000",""
"Ukraine","Gross fixed capital formation","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2020-Q1","112608000000",""
"Ukraine","Gross fixed capital formation","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2020-Q2","106733000000",""
"Ukraine","Gross fixed capital formation","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2020-Q3","106784000000",""
"Ukraine","Gross fixed capital formation","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2020-Q4","112304000000",""
"Ukraine","Gross fixed capital formation","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2021-Q1","105858000000",""
"Ukraine","Gross fixed capital formation","Constant prices","Seasonally adjusted (SA)","Domestic currency","Quarterly","2021-Q2","123020000000",""
