Year;January;February;March;April;May;June;July;August;September;October;November;December
1992;385.2;444.1;497.9;535.7;612.9;775.3;946.6;1025.2;1133.8;1274.4;1554.8;2100.0
1993;173.2;223.1;272.4;336.7;429.6;737.6;1014.9;1235.2;2227.0;3699.1;5374.8;10256.0
1994;119.2;134.2;141.9;150.4;158.2;164.4;167.8;172.2;184.8;226.5;390.3;501.0
1995;121.2;143.1;159.5;168.7;176.5;184.9;194.6;203.5;232.4;253.5;269.3;281.7
1996;109.4;117.5;121.0;123.9;124.8;124.9;125.0;132.2;134.8;136.8;138.5;139.7
1997;102.2;103.4;103.5;104.4;105.2;105.3;105.4;105.4;106.7;107.6;108.6;110.1
1998;101.3;101.5;101.7;103.0;103.0;103.0;102.1;102.3;106.2;112.8;116.2;120.0
1999;101.5;102.5;103.5;105.9;108.5;108.6;107.5;108.6;110.1;111.3;114.5;119.2
2000;104.6;108.1;110.2;112.1;114.4;118.7;118.6;118.6;121.6;123.3;123.8;125.8
2001;101.5;102.1;102.7;104.3;104.7;105.3;103.5;103.3;103.7;103.9;104.5;106.1
2002;101.0;99.6;98.9;100.3;100.0;98.2;96.7;96.5;96.7;97.4;98.1;99.4
2003;101.5;102.6;103.7;104.5;104.5;104.6;104.5;102.7;103.3;104.7;106.6;108.2
2004;101.4;101.8;102.2;102.9;103.6;104.4;104.4;104.3;105.6;107.9;109.7;112.3
2005;101.7;102.7;104.4;105.1;105.7;106.4;106.7;106.7;107.1;108.1;109.4;110.3
2006;101.2;103.0;102.7;102.3;102.8;102.9;103.8;103.8;105.9;108.7;110.6;111.6
2007;100.5;101.1;101.3;101.3;101.9;104.2;105.6;106.2;108.6;111.7;114.2;116.6
2008;102.9;105.7;109.7;113.1;114.6;115.5;114.9;114.8;116.1;118.0;119.8;122.3
2009;102.9;104.4;105.9;106.9;107.4;108.6;108.5;108.2;109.1;110.1;111.3;112.3
2010;101.8;103.7;104.7;104.4;103.7;103.3;103.1;104.3;107.4;107.9;108.2;109.1
2011;101.0;101.9;103.3;104.7;105.5;105.9;104.6;104.1;104.2;104.2;104.4;104.6
2012;100.2;100.4;100.7;100.7;100.4;100.1;99.9;99.6;99.7;99.7;99.6;99.8
2013;100.2;100.1;100.1;100.1;100.2;100.2;100.1;99.4;99.4;99.8;100.0;100.5
2014;100.2;100.8;103.0;106.4;110.5;111.6;112.0;112.9;116.2;119.0;121.2;124.9
2015;103.1;108.6;120.3;137.1;140.1;140.7;139.3;138.2;141.4;139.5;142.3;143.3
2016;100.9;100.5;101.5;105.1;105.2;104.9;104.8;104.5;106.4;109.4;111.4;112.4
2017;101.1;102.1;103.9;104.9;106.2;107.9;108.2;108.1;110.2;111.5;112.5;113.7
2018;101.5;102.4;103.5;104.4;104.4;104.4;103.6;103.6;105.6;107.4;108.9;109.8
2019;101.0;101.5;102.4;103.4;104.2;103.6;103.0;102.7;103.4;104.2;104.3;104.1
2020;100.2;99.9;100.7;101.5;101.8;102.0;101.4;101.2;101.7;102.7;104.1;105.0
2021;101.3;102.3;104.1;104.8;106.1;106.4;106.5;106.2;107.5;108.5;109.4;110.0
2022;101.3;102.9;107.6;110.9;113.9;117.4;118.2;119.5;121.8;124.8;125.7;126.6
2023;100.8;101.5;103.0;103.2;103.8;104.6;104.0;102.5;103.0;103.8;104.4;105.1
2024;100.4;100.7;101.2;101.4;102.0;104.3;104.3;104.9;106.5;108.4;110.4;112.0
