period,position,final_seniority,final_salary,frequency
2015_H1,Data Scientist / Data Analyst,1,381 nan nan,1
2015_H1,Data Scientist / Data Analyst,1,5000 nan nan,1
2015_H1,Data Scientist / Data Analyst,1,1000 nan nan,1
2015_H1,Data Scientist / Data Analyst,1.5,1700 nan nan,1
2015_H1,Data Scientist / Data Analyst,4,3350 nan nan,1
2015_H1,Data Scientist / Data Analyst,0.5,560 nan nan,1
2015_H1,Data Scientist / Data Analyst,2,1000 nan nan,1
2015_H1,Data Scientist / Data Analyst,0.25,300 nan nan,1
2015_H1,Data Scientist / Data Analyst,меньше 3 месяцев,925 nan nan,1
2015_H1,Data Scientist / Data Analyst,1.5,220 nan nan,1
2015_H1,Data Scientist / Data Analyst,1,460 nan nan,1
2015_H1,Data Scientist / Data Analyst,1.5,375 nan nan,1
2015_H1,Data Scientist / Data Analyst,меньше 3 месяцев,1920 nan nan,1
2015_H1,Data Scientist / Data Analyst,3,700 nan nan,1
2015_H1,Data Scientist / Data Analyst,меньше 3 месяцев,1200 nan nan,1
2015_H1,Data Scientist / Data Analyst,2,360 nan nan,1
2015_H1,Data Scientist / Data Analyst,2,80 nan nan,1
2015_H1,Data Scientist / Data Analyst,1.5,210 nan nan,1
2015_H1,Data Scientist / Data Analyst,2,800 nan nan,1
2015_H1,Data Scientist / Data Analyst,3,800 nan nan,1
2015_H1,Data Scientist / Data Analyst,2,2200 nan nan,1
2015_H1,Data Scientist / Data Analyst,меньше 3 месяцев,900 nan nan,1
2015_H1,Data Scientist / Data Analyst,1.5,2500 nan nan,1
2015_H1,Data Scientist / Data Analyst,0.25,2500 nan nan,1
2015_H1,Data Scientist / Data Analyst,меньше 3 месяцев,1200 nan nan,1
2015_H1,Data Scientist / Data Analyst,1.5,300 nan nan,1
2015_H1,Data Scientist / Data Analyst,0.5,950 nan nan,1
2015_H1,Data Scientist / Data Analyst,2,429 nan nan,1
2015_H1,Data Scientist / Data Analyst,1.5,500 nan nan,1
2015_H1,Data Scientist / Data Analyst,1.5,230 nan nan,1
2015_H1,Data Scientist / Data Analyst,0.5,4000 nan nan,1
2015_H1,Data Scientist / Data Analyst,1.5,3200 nan nan,1
2015_H1,Data Scientist / Data Analyst,0.5,1000 nan nan,1
2015_H1,Data Scientist / Data Analyst,0.5,1200 nan nan,1
2015_H1,Data Scientist / Data Analyst,1,240 nan nan,1
2015_H1,Data Scientist / Data Analyst,0.5,590 nan nan,1
2015_H2,Data Scientist / Data Analyst,1,1000 nan nan,1
2015_H2,Data Scientist / Data Analyst,меньше 3 месяцев,990 nan nan,1
2015_H2,Data Scientist / Data Analyst,2,4000 nan nan,1
2015_H2,Data Scientist / Data Analyst,0.5,380 nan nan,1
2015_H2,Data Scientist / Data Analyst,0.25,600 nan nan,1
2015_H2,Data Scientist / Data Analyst,5,6000 nan nan,1
2015_H2,Data Scientist / Data Analyst,меньше 3 месяцев,300 nan nan,1
2015_H2,Data Scientist / Data Analyst,1.5,124 nan nan,1
2015_H2,Data Scientist / Data Analyst,0.5,3200 nan nan,1
2015_H2,Data Scientist / Data Analyst,0.5,2000 nan nan,1
2015_H2,Data Scientist / Data Analyst,0.25,400 nan nan,1
2015_H2,Data Scientist / Data Analyst,0.25,5000 nan nan,1
2015_H2,Data Scientist / Data Analyst,6,400 nan nan,1
2015_H2,Data Scientist / Data Analyst,2,400 nan nan,1
2015_H2,Data Scientist / Data Analyst,0.25,120 nan nan,1
2015_H2,Data Scientist / Data Analyst,3,1495 nan nan,1
2015_H2,Data Scientist / Data Analyst,0.5,1800 nan nan,1
2015_H2,Data Scientist / Data Analyst,1,300 nan nan,1
2015_H2,Data Scientist / Data Analyst,6,3900 nan nan,1
2015_H2,Data Scientist / Data Analyst,0.5,280 nan nan,1
2015_H2,Data Scientist / Data Analyst,3,2000 nan nan,1
2015_H2,Data Scientist / Data Analyst,3,400 nan nan,1
2015_H2,Data Scientist / Data Analyst,1,1850 nan nan,1
2015_H2,Data Scientist / Data Analyst,меньше 3 месяцев,1150 nan nan,1
2015_H2,Data Scientist / Data Analyst,1.5,385 nan nan,1
2015_H2,Data Scientist / Data Analyst,0.25,1750 nan nan,1
2015_H2,Data Scientist / Data Analyst,1.5,2000 nan nan,1
2015_H2,Data Scientist / Data Analyst,0.5,500 nan nan,1
2015_H2,Data Scientist / Data Analyst,2,2000 nan nan,1
2015_H2,Data Scientist / Data Analyst,3,1800 nan nan,1
2015_H2,Data Scientist / Data Analyst,2,320 nan nan,1
2015_H2,Data Scientist / Data Analyst,2,4500 nan nan,1
2015_H2,Data Scientist / Data Analyst,0.5,800 nan nan,1
2015_H2,Data Scientist / Data Analyst,4,2700 nan nan,1
2015_H2,Data Scientist / Data Analyst,1,1200 nan nan,1
2015_H2,Data Scientist / Data Analyst,2,800 nan nan,1
2015_H2,Data Scientist / Data Analyst,0.25,520 nan nan,1
2015_H2,Data Scientist / Data Analyst,1.5,340 nan nan,1
2015_H2,Data Scientist / Data Analyst,3,1000 nan nan,1
2015_H2,Data Scientist / Data Analyst,0.5,520 nan nan,1
2015_H2,Data Scientist / Data Analyst,1,450 nan nan,1
2015_H2,Data Scientist / Data Analyst,1,1200 nan nan,1
2015_H2,Data Scientist / Data Analyst,1.5,2000 nan nan,1
2015_H2,Data Scientist / Data Analyst,0.25,330 nan nan,1
2015_H2,Data Scientist / Data Analyst,1,1200 nan nan,1
2015_H2,Data Scientist / Data Analyst,0.5,250 nan nan,1
2015_H2,Data Scientist / Data Analyst,1.5,1400 nan nan,1
2015_H2,Data Scientist / Data Analyst,1.5,700 nan nan,1
2016_H1,Data Scientist / Data Analyst,0.5,600 nan nan,1
2016_H1,Data Scientist / Data Analyst,0.5,800 nan nan,1
2016_H1,Data Scientist / Data Analyst,0.5,4700 nan nan,1
2016_H1,Data Scientist / Data Analyst,1,500 nan nan,1
2016_H1,Data Scientist / Data Analyst,меньше 3 месяцев,3800 nan nan,1
2016_H1,Data Scientist / Data Analyst,0.5,650 nan nan,1
2016_H1,Data Scientist / Data Analyst,2,5000 nan nan,1
2016_H1,Data Scientist / Data Analyst,2,3000 nan nan,1
2016_H1,Data Scientist / Data Analyst,1,2200 nan nan,1
2016_H1,Data Scientist / Data Analyst,меньше 3 месяцев,1500 nan nan,1
2016_H1,Data Scientist / Data Analyst,меньше 3 месяцев,1200 nan nan,1
2016_H1,Data Scientist / Data Analyst,0.5,5700 nan nan,1
2016_H1,Data Scientist / Data Analyst,0.25,2600 nan nan,1
2016_H1,Data Scientist / Data Analyst,1.5,1500 nan nan,1
2016_H1,Data Scientist / Data Analyst,1,1800 nan nan,1
2016_H1,Data Scientist / Data Analyst,меньше 3 месяцев,1500 nan nan,1
2016_H1,Data Scientist / Data Analyst,1.5,400 nan nan,1
2016_H1,Data Scientist / Data Analyst,0.5,636 nan nan,1
2016_H1,Data Scientist / Data Analyst,0.5,1200 nan nan,1
2016_H1,Data Scientist / Data Analyst,меньше 3 месяцев,1200 nan nan,1
