period,position,final_seniority,final_salary
2015_H1,Data Scientist / Data Analyst,junior,381.0
2015_H1,Data Scientist / Data Analyst,senior,5000.0
2015_H1,Data Scientist / Data Analyst,junior,1000.0
2015_H1,Data Scientist / Data Analyst,junior,1700.0
2015_H1,Data Scientist / Data Analyst,senior,3350.0
2015_H1,Data Scientist / Data Analyst,senior,560.0
2015_H1,Data Scientist / Data Analyst,junior,1000.0
2015_H1,Data Scientist / Data Analyst,junior,300.0
2015_H1,Data Scientist / Data Analyst,junior,925.0
2015_H1,Data Scientist / Data Analyst,junior,220.0
2015_H1,Data Scientist / Data Analyst,senior,460.0
2015_H1,Data Scientist / Data Analyst,middle,375.0
2015_H1,Data Scientist / Data Analyst,junior,1920.0
2015_H1,Data Scientist / Data Analyst,middle,700.0
2015_H1,Data Scientist / Data Analyst,junior,1200.0
2015_H1,Data Scientist / Data Analyst,junior,360.0
2015_H1,Data Scientist / Data Analyst,middle,80.0
2015_H1,Data Scientist / Data Analyst,junior,210.0
2015_H1,Data Scientist / Data Analyst,junior,800.0
2015_H1,Data Scientist / Data Analyst,middle,800.0
2015_H1,Data Scientist / Data Analyst,middle,2200.0
2015_H1,Data Scientist / Data Analyst,junior,900.0
2015_H1,Data Scientist / Data Analyst,middle,2500.0
2015_H1,Data Scientist / Data Analyst,middle,2500.0
2015_H1,Data Scientist / Data Analyst,junior,1200.0
2015_H1,Data Scientist / Data Analyst,middle,300.0
2015_H1,Data Scientist / Data Analyst,junior,950.0
2015_H1,Data Scientist / Data Analyst,middle,429.0
2015_H1,Data Scientist / Data Analyst,junior,500.0
2015_H1,Data Scientist / Data Analyst,junior,230.0
2015_H1,Data Scientist / Data Analyst,senior,4000.0
2015_H1,Data Scientist / Data Analyst,junior,3200.0
2015_H1,Data Scientist / Data Analyst,junior,1000.0
2015_H1,Data Scientist / Data Analyst,junior,1200.0
2015_H1,Data Scientist / Data Analyst,junior,240.0
2015_H1,Data Scientist / Data Analyst,middle,590.0
2015_H2,Data Scientist / Data Analyst,middle,1000.0
2015_H2,Data Scientist / Data Analyst,middle,990.0
2015_H2,Data Scientist / Data Analyst,senior,4000.0
2015_H2,Data Scientist / Data Analyst,junior,380.0
